Summary,Issue Type,Status,Priority,Labels,Story point estimate,Sprint,Created,Updated,Nuvlo Started At,Nuvlo Done At,Description
Revisar accesibilidad de acciones principales (Autenticacion con Atlassian),Task,Done,Highest,nuvlo-demo area-backend sprint-10 producto,13,PCC Sprint 10,2026-05-16 20:00,2026-05-24 23:00,2026-05-17 21:00,2026-05-24 23:00,Dataset controlado para Nuvlo. Area: backend. Caso: Task. Sprint historico de dos semanas.
Implementar servicio de lectura paginada de Jira (Panel de metricas),Task,Done,Medium,nuvlo-demo area-alertas sprint-10 producto,1,PCC Sprint 10,2026-05-09 21:00,2026-05-21 00:00,2026-05-11 22:00,2026-05-21 00:00,Dataset controlado para Nuvlo. Area: alertas. Caso: Task. Sprint historico de dos semanas.
Normalizar campos importados desde Jira Cloud (Alertas y actividad),Task,Done,High,nuvlo-demo area-documentacion sprint-10 producto,2,PCC Sprint 10,2026-05-11 17:00,2026-05-17 20:00,2026-05-14 18:00,2026-05-17 20:00,Dataset controlado para Nuvlo. Area: documentacion. Caso: Task. Sprint historico de dos semanas.
Revisar aviso cuando falta historial de transiciones (Experiencia responsive),Bug,Done,Low,nuvlo-demo area-datos sprint-10 bugfix reabierta,1,PCC Sprint 10,2026-05-13 18:00,2026-05-22 21:00,2026-05-17 19:00,2026-05-22 21:00,Dataset controlado para Nuvlo. Area: datos. Caso: Bug. Sprint historico de dos semanas. Incluye reapertura simulada documentada en etiquetas.
Como usuario quiero revisar actividad reciente de sincronizacion (Autenticacion con Atlassian),Story,Done,Medium,nuvlo-demo area-ux sprint-10 producto,5,PCC Sprint 10,2026-05-15 19:00,2026-05-27 22:00,2026-05-20 20:00,2026-05-27 22:00,Dataset controlado para Nuvlo. Area: ux. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero alternar entre Jira real y demo controlada (Panel de metricas),Story,Done,Medium,nuvlo-demo area-backend sprint-11 producto,13,PCC Sprint 11,2026-05-25 17:00,2026-06-06 20:00,2026-05-27 18:00,2026-06-06 20:00,Dataset controlado para Nuvlo. Area: backend. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero consultar el estado del flujo del proyecto (Alertas y actividad),Story,Done,High,nuvlo-demo area-alertas sprint-11 producto,1,PCC Sprint 11,2026-05-27 18:00,2026-06-03 21:00,2026-05-30 19:00,2026-06-03 21:00,Dataset controlado para Nuvlo. Area: alertas. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero filtrar metricas por Sprint y estado (Experiencia responsive),Story,Done,Low,nuvlo-demo area-documentacion sprint-11 producto,2,PCC Sprint 11,2026-05-29 19:00,2026-06-08 22:00,2026-06-02 20:00,2026-06-08 22:00,Dataset controlado para Nuvlo. Area: documentacion. Caso: Story. Sprint historico de dos semanas.
Preparar pruebas de metricas con datos controlados (Autenticacion con Atlassian),Task,Done,Medium,nuvlo-demo area-datos sprint-11 producto,3,PCC Sprint 11,2026-05-31 20:00,2026-06-13 23:00,2026-06-05 21:00,2026-06-13 23:00,Dataset controlado para Nuvlo. Area: datos. Caso: Task. Sprint historico de dos semanas.
Ajustar componentes visuales del dashboard (Panel de metricas),Task,Done,Low,nuvlo-demo area-ux sprint-11 producto,5,PCC Sprint 11,2026-05-24 21:00,2026-06-05 00:00,2026-05-25 22:00,2026-06-05 00:00,Dataset controlado para Nuvlo. Area: ux. Caso: Task. Sprint historico de dos semanas.
Documentar decisiones tecnicas de la integracion (Alertas y actividad),Task,Done,Medium,nuvlo-demo area-frontend sprint-11 producto,8,PCC Sprint 11,2026-05-26 17:00,2026-06-01 20:00,2026-05-28 18:00,2026-06-01 20:00,Dataset controlado para Nuvlo. Area: frontend. Caso: Task. Sprint historico de dos semanas.
Corregir lectura de story points en campos personalizados (Experiencia responsive),Bug,Done,Medium,nuvlo-demo area-oauth sprint-11 bugfix,1,PCC Sprint 11,2026-05-28 18:00,2026-06-06 21:00,2026-05-31 19:00,2026-06-06 21:00,Dataset controlado para Nuvlo. Area: oauth. Caso: Bug. Sprint historico de dos semanas.
Como usuario quiero consultar el estado del flujo del proyecto (Autenticacion con Atlassian),Story,Done,High,nuvlo-demo area-testing sprint-11 producto,1,PCC Sprint 11,2026-05-30 19:00,2026-06-11 22:00,2026-06-03 20:00,2026-06-11 22:00,Dataset controlado para Nuvlo. Area: testing. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero filtrar metricas por Sprint y estado (Panel de metricas),Story,Done,Highest,nuvlo-demo area-backend sprint-11 producto,2,PCC Sprint 11,2026-05-23 20:00,2026-06-07 23:00,2026-05-28 21:00,2026-06-07 23:00,Dataset controlado para Nuvlo. Area: backend. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero revisar actividad reciente de sincronizacion (Configuracion de analisis),Story,Done,Medium,nuvlo-demo area-ux sprint-12 producto,5,PCC Sprint 12,2026-06-09 17:00,2026-06-16 20:00,2026-06-11 18:00,2026-06-16 20:00,Dataset controlado para Nuvlo. Area: ux. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero configurar criterios de analisis por proyecto (Calidad y validacion),Story,Done,High,nuvlo-demo area-frontend sprint-12 producto,8,PCC Sprint 12,2026-06-11 18:00,2026-06-21 21:00,2026-06-14 19:00,2026-06-21 21:00,Dataset controlado para Nuvlo. Area: frontend. Caso: Story. Sprint historico de dos semanas.
Revisar accesibilidad de acciones principales (Demo y documentacion),Task,Done,Low,nuvlo-demo area-oauth sprint-12 producto,13,PCC Sprint 12,2026-06-13 19:00,2026-06-26 22:00,2026-06-17 20:00,2026-06-26 22:00,Dataset controlado para Nuvlo. Area: oauth. Caso: Task. Sprint historico de dos semanas.
Implementar servicio de lectura paginada de Jira (Sincronizacion Jira),Task,Done,Medium,nuvlo-demo area-testing sprint-12 producto,1,PCC Sprint 12,2026-06-06 20:00,2026-06-14 23:00,2026-06-11 21:00,2026-06-14 23:00,Dataset controlado para Nuvlo. Area: testing. Caso: Task. Sprint historico de dos semanas.
Normalizar campos importados desde Jira Cloud (Configuracion de analisis),Task,Done,Low,nuvlo-demo area-backend sprint-12 producto,2,PCC Sprint 12,2026-06-08 21:00,2026-06-15 00:00,2026-06-09 22:00,2026-06-15 00:00,Dataset controlado para Nuvlo. Area: backend. Caso: Task. Sprint historico de dos semanas.
Evitar que una alerta duplicada incremente el contador (Calidad y validacion),Bug,Done,Medium,nuvlo-demo area-alertas sprint-12 bugfix,1,PCC Sprint 12,2026-06-10 17:00,2026-06-19 20:00,2026-06-12 18:00,2026-06-19 20:00,Dataset controlado para Nuvlo. Area: alertas. Caso: Bug. Sprint historico de dos semanas.
Como usuario quiero revisar actividad reciente de sincronizacion (Demo y documentacion),Story,Done,Medium,nuvlo-demo area-documentacion sprint-12 producto,5,PCC Sprint 12,2026-06-12 18:00,2026-06-24 21:00,2026-06-15 19:00,2026-06-24 21:00,Dataset controlado para Nuvlo. Area: documentacion. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero configurar criterios de analisis por proyecto (Sincronizacion Jira),Story,Done,High,nuvlo-demo area-datos sprint-12 producto bloqueada,8,PCC Sprint 12,2026-06-14 19:00,2026-06-21 22:00,2026-06-18 20:00,2026-06-21 22:00,Dataset controlado para Nuvlo. Area: datos. Caso: Story. Sprint historico de dos semanas. Incluye bloqueo simulado para explicar avisos de flujo.
Como usuario quiero alternar entre Jira real y demo controlada (Configuracion de analisis),Story,Done,Highest,nuvlo-demo area-ux sprint-12 producto,13,PCC Sprint 12,2026-06-07 20:00,2026-06-17 23:00,2026-06-12 21:00,2026-06-17 23:00,Dataset controlado para Nuvlo. Area: ux. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero consultar el estado del flujo del proyecto (Calidad y validacion),Story,Done,Medium,nuvlo-demo area-frontend sprint-12 producto,1,PCC Sprint 12,2026-06-09 21:00,2026-06-18 00:00,2026-06-10 22:00,2026-06-18 00:00,Dataset controlado para Nuvlo. Area: frontend. Caso: Story. Sprint historico de dos semanas.
Preparar pruebas de metricas con datos controlados (Calidad y validacion),Task,Done,Medium,nuvlo-demo area-alertas sprint-13 producto,3,PCC Sprint 13,2026-06-24 17:00,2026-07-07 20:00,2026-06-27 18:00,2026-07-07 20:00,Dataset controlado para Nuvlo. Area: alertas. Caso: Task. Sprint historico de dos semanas.
Ajustar componentes visuales del dashboard (Demo y documentacion),Task,Done,Medium,nuvlo-demo area-documentacion sprint-13 producto,5,PCC Sprint 13,2026-06-26 18:00,2026-07-04 21:00,2026-06-30 19:00,2026-07-04 21:00,Dataset controlado para Nuvlo. Area: documentacion. Caso: Task. Sprint historico de dos semanas.
Documentar decisiones tecnicas de la integracion (Sincronizacion Jira),Task,Done,High,nuvlo-demo area-datos sprint-13 producto,8,PCC Sprint 13,2026-06-28 19:00,2026-07-09 22:00,2026-07-03 20:00,2026-07-09 22:00,Dataset controlado para Nuvlo. Area: datos. Caso: Task. Sprint historico de dos semanas.
Corregir inconsistencia al mostrar WIP despues de sincronizar (Configuracion de analisis),Bug,Review,Highest,nuvlo-demo area-ux sprint-13 bugfix,1,PCC Sprint 13,2026-06-21 20:00,2026-06-26 21:00,2026-06-22 21:00,,Dataset controlado para Nuvlo. Area: ux. Caso: Bug. Sprint historico de dos semanas.
Como usuario quiero consultar el estado del flujo del proyecto (Calidad y validacion),Story,In Progress,Medium,nuvlo-demo area-frontend sprint-13 producto,1,PCC Sprint 13,2026-06-23 21:00,2026-06-27 22:00,2026-06-25 22:00,,Dataset controlado para Nuvlo. Area: frontend. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero filtrar metricas por Sprint y estado (Demo y documentacion),Story,Done,High,nuvlo-demo area-oauth sprint-13 producto,2,PCC Sprint 13,2026-06-25 17:00,2026-07-02 20:00,2026-06-28 18:00,2026-07-02 20:00,Dataset controlado para Nuvlo. Area: oauth. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero visualizar alertas operativas (Sincronizacion Jira),Story,Done,Low,nuvlo-demo area-testing sprint-13 producto,3,PCC Sprint 13,2026-06-27 18:00,2026-07-07 21:00,2026-07-01 19:00,2026-07-07 21:00,Dataset controlado para Nuvlo. Area: testing. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero revisar actividad reciente de sincronizacion (Configuracion de analisis),Story,Done,Medium,nuvlo-demo area-backend sprint-13 producto,5,PCC Sprint 13,2026-06-20 19:00,2026-07-03 22:00,2026-06-25 20:00,2026-07-03 22:00,Dataset controlado para Nuvlo. Area: backend. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero configurar criterios de analisis por proyecto (Calidad y validacion),Story,Review,Low,nuvlo-demo area-alertas sprint-13 producto,8,PCC Sprint 13,2026-06-22 20:00,2026-06-27 21:00,2026-06-23 21:00,,Dataset controlado para Nuvlo. Area: alertas. Caso: Story. Sprint historico de dos semanas.
Implementar servicio de lectura paginada de Jira (Experiencia responsive),Task,Done,Medium,nuvlo-demo area-frontend sprint-14 producto,1,PCC Sprint 14,2026-07-09 17:00,2026-07-17 20:00,2026-07-12 18:00,2026-07-17 20:00,Dataset controlado para Nuvlo. Area: frontend. Caso: Task. Sprint historico de dos semanas.
Normalizar campos importados desde Jira Cloud (Autenticacion con Atlassian),Task,Done,Medium,nuvlo-demo area-oauth sprint-14 producto,2,PCC Sprint 14,2026-07-11 18:00,2026-07-22 21:00,2026-07-15 19:00,2026-07-22 21:00,Dataset controlado para Nuvlo. Area: oauth. Caso: Task. Sprint historico de dos semanas.
Ajustar renderizado responsive en resoluciones pequenas (Panel de metricas),Bug,Done,High,nuvlo-demo area-testing sprint-14 bugfix,1,PCC Sprint 14,2026-07-04 19:00,2026-07-18 22:00,2026-07-09 20:00,2026-07-18 22:00,Dataset controlado para Nuvlo. Area: testing. Caso: Bug. Sprint historico de dos semanas.
Como usuario quiero revisar actividad reciente de sincronizacion (Alertas y actividad),Story,Review,Highest,nuvlo-demo area-backend sprint-14 producto,5,PCC Sprint 14,2026-07-06 20:00,2026-07-11 21:00,2026-07-07 21:00,,Dataset controlado para Nuvlo. Area: backend. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero configurar criterios de analisis por proyecto (Experiencia responsive),Story,In Progress,Medium,nuvlo-demo area-alertas sprint-14 producto,8,PCC Sprint 14,2026-07-08 21:00,2026-07-12 22:00,2026-07-10 22:00,,Dataset controlado para Nuvlo. Area: alertas. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero alternar entre Jira real y demo controlada (Autenticacion con Atlassian),Story,Done,High,nuvlo-demo area-documentacion sprint-14 producto,13,PCC Sprint 14,2026-07-10 17:00,2026-07-20 20:00,2026-07-13 18:00,2026-07-20 20:00,Dataset controlado para Nuvlo. Area: documentacion. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero consultar el estado del flujo del proyecto (Panel de metricas),Story,Done,Low,nuvlo-demo area-datos sprint-14 producto,1,PCC Sprint 14,2026-07-12 18:00,2026-07-25 21:00,2026-07-16 19:00,2026-07-25 21:00,Dataset controlado para Nuvlo. Area: datos. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero filtrar metricas por Sprint y estado (Alertas y actividad),Story,Done,Medium,nuvlo-demo area-ux sprint-14 producto,2,PCC Sprint 14,2026-07-05 19:00,2026-07-13 22:00,2026-07-10 20:00,2026-07-13 22:00,Dataset controlado para Nuvlo. Area: ux. Caso: Story. Sprint historico de dos semanas.
Preparar pruebas de metricas con datos controlados (Experiencia responsive),Task,Review,Low,nuvlo-demo area-frontend sprint-14 producto,3,PCC Sprint 14,2026-07-07 20:00,2026-07-12 21:00,2026-07-08 21:00,,Dataset controlado para Nuvlo. Area: frontend. Caso: Task. Sprint historico de dos semanas.
Documentar decisiones tecnicas de la integracion (Demo y documentacion),Task,Done,Medium,nuvlo-demo area-alertas sprint-15 producto,8,PCC Sprint 15,2026-07-24 17:00,2026-08-04 20:00,2026-07-27 18:00,2026-08-04 20:00,Dataset controlado para Nuvlo. Area: alertas. Caso: Task. Sprint historico de dos semanas.
Revisar aviso cuando falta historial de transiciones (Sincronizacion Jira),Bug,Review,Medium,nuvlo-demo area-documentacion sprint-15 bugfix reabierta,1,PCC Sprint 15,2026-07-26 18:00,2026-08-03 19:00,2026-07-30 19:00,,Dataset controlado para Nuvlo. Area: documentacion. Caso: Bug. Sprint historico de dos semanas. Incluye reapertura simulada documentada en etiquetas.
Como usuario quiero consultar el estado del flujo del proyecto (Configuracion de analisis),Story,In Progress,High,nuvlo-demo area-datos sprint-15 producto,1,PCC Sprint 15,2026-07-19 19:00,2026-07-26 20:00,2026-07-24 20:00,,Dataset controlado para Nuvlo. Area: datos. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero filtrar metricas por Sprint y estado (Calidad y validacion),Story,To Do,Highest,nuvlo-demo area-ux sprint-15 producto,2,PCC Sprint 15,2026-07-21 20:00,2026-07-22 20:00,,,Dataset controlado para Nuvlo. Area: ux. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero visualizar alertas operativas (Demo y documentacion),Story,In Progress,Medium,nuvlo-demo area-frontend sprint-15 producto,3,PCC Sprint 15,2026-07-23 21:00,2026-07-27 22:00,2026-07-25 22:00,,Dataset controlado para Nuvlo. Area: frontend. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero revisar actividad reciente de sincronizacion (Sincronizacion Jira),Story,Review,High,nuvlo-demo area-oauth sprint-15 producto,5,PCC Sprint 15,2026-07-25 17:00,2026-08-01 18:00,2026-07-28 18:00,,Dataset controlado para Nuvlo. Area: oauth. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero configurar criterios de analisis por proyecto (Configuracion de analisis),Story,To Do,Low,nuvlo-demo area-testing sprint-15 producto,8,PCC Sprint 15,2026-07-18 18:00,2026-07-19 18:00,,,Dataset controlado para Nuvlo. Area: testing. Caso: Story. Sprint historico de dos semanas.
Revisar accesibilidad de acciones principales (Calidad y validacion),Task,Done,Medium,nuvlo-demo area-backend sprint-15 producto,13,PCC Sprint 15,2026-07-20 19:00,2026-07-31 22:00,2026-07-25 20:00,2026-07-31 22:00,Dataset controlado para Nuvlo. Area: backend. Caso: Task. Sprint historico de dos semanas.
Normalizar campos importados desde Jira Cloud (Demo y documentacion),Task,Done,Medium,nuvlo-demo area-ux sprint-16 producto,2,PCC Sprint 16,2026-08-08 17:00,2026-08-19 20:00,2026-08-10 18:00,2026-08-19 20:00,Dataset controlado para Nuvlo. Area: ux. Caso: Task. Sprint historico de dos semanas.
Corregir lectura de story points en campos personalizados (Sincronizacion Jira),Bug,Review,High,nuvlo-demo area-frontend sprint-16 bugfix,1,PCC Sprint 16,2026-08-01 18:00,2026-08-08 19:00,2026-08-04 19:00,,Dataset controlado para Nuvlo. Area: frontend. Caso: Bug. Sprint historico de dos semanas.
Como usuario quiero revisar actividad reciente de sincronizacion (Configuracion de analisis),Story,In Progress,Low,nuvlo-demo area-oauth sprint-16 producto,5,PCC Sprint 16,2026-08-03 19:00,2026-08-09 20:00,2026-08-07 20:00,,Dataset controlado para Nuvlo. Area: oauth. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero configurar criterios de analisis por proyecto (Calidad y validacion),Story,To Do,Medium,nuvlo-demo area-testing sprint-16 producto,8,PCC Sprint 16,2026-08-05 20:00,2026-08-06 20:00,,,Dataset controlado para Nuvlo. Area: testing. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero alternar entre Jira real y demo controlada (Demo y documentacion),Story,In Progress,Low,nuvlo-demo area-backend sprint-16 producto,13,PCC Sprint 16,2026-08-07 21:00,2026-08-10 22:00,2026-08-08 22:00,,Dataset controlado para Nuvlo. Area: backend. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero consultar el estado del flujo del proyecto (Sincronizacion Jira),Story,Review,Medium,nuvlo-demo area-alertas sprint-16 producto,1,PCC Sprint 16,2026-08-09 17:00,2026-08-15 18:00,2026-08-11 18:00,,Dataset controlado para Nuvlo. Area: alertas. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero filtrar metricas por Sprint y estado (Configuracion de analisis),Story,To Do,Medium,nuvlo-demo area-documentacion sprint-16 producto,2,PCC Sprint 16,2026-08-02 18:00,2026-08-03 18:00,,,Dataset controlado para Nuvlo. Area: documentacion. Caso: Story. Sprint historico de dos semanas.
Preparar pruebas de metricas con datos controlados (Calidad y validacion),Task,Done,High,nuvlo-demo area-datos sprint-16 producto bloqueada,3,PCC Sprint 16,2026-08-04 19:00,2026-08-15 22:00,2026-08-08 20:00,2026-08-15 22:00,Dataset controlado para Nuvlo. Area: datos. Caso: Task. Sprint historico de dos semanas. Incluye bloqueo simulado para explicar avisos de flujo.
Ajustar componentes visuales del dashboard (Demo y documentacion),Task,Review,Highest,nuvlo-demo area-ux sprint-16 producto,5,PCC Sprint 16,2026-08-06 20:00,2026-08-15 21:00,2026-08-11 21:00,,Dataset controlado para Nuvlo. Area: ux. Caso: Task. Sprint historico de dos semanas.
Documentar decisiones tecnicas de la integracion (Sincronizacion Jira),Task,In Progress,Medium,nuvlo-demo area-frontend sprint-16 producto,8,PCC Sprint 16,2026-08-08 21:00,2026-08-11 22:00,2026-08-09 22:00,,Dataset controlado para Nuvlo. Area: frontend. Caso: Task. Sprint historico de dos semanas.
